LECROYWR64MXi 50182 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 26-May-2013 16:47:47 0                 
Time Ampl
-2.23613e-008 -0.00492627
-2.22613e-008 -0.0209257
-2.21613e-008 -0.0209257
-2.20613e-008 -0.00492627
-2.19613e-008 -0.00492627
-2.18613e-008 0.0110731
-2.17613e-008 -0.0209257
-2.16613e-008 -0.036925
-2.15613e-008 -0.0209257
-2.14613e-008 -0.036925
-2.13613e-008 0.0110731
-2.12613e-008 0.0110731
-2.11613e-008 -0.0209257
-2.10613e-008 -0.036925
-2.09613e-008 -0.036925
-2.08613e-008 -0.036925
-2.07613e-008 -0.036925
-2.06613e-008 -0.00492627
-2.05613e-008 -0.0209257
-2.04613e-008 -0.0209257
-2.03613e-008 -0.0209257
-2.02613e-008 -0.036925
-2.01613e-008 -0.0209257
-2.00613e-008 -0.00492627
-1.99613e-008 0.0110731
-1.98613e-008 -0.0209257
-1.97613e-008 -0.0209257
-1.96613e-008 -0.0209257
-1.95613e-008 -0.0209257
-1.94613e-008 -0.00492627
-1.93613e-008 -0.00492627
-1.92613e-008 -0.0209257
-1.91613e-008 -0.0209257
-1.90613e-008 -0.0529244
-1.89613e-008 -0.036925
-1.88613e-008 -0.0209257
-1.87613e-008 -0.0209257
-1.86613e-008 -0.036925
-1.85613e-008 -0.00492627
-1.84613e-008 -0.0529244
-1.83613e-008 -0.0209257
-1.82613e-008 -0.00492627
-1.81613e-008 -0.00492627
-1.80613e-008 -0.00492627
-1.79613e-008 -0.00492627
-1.78613e-008 -0.036925
-1.77613e-008 -0.036925
-1.76613e-008 -0.0209257
-1.75613e-008 -0.00492627
-1.74613e-008 -0.00492627
-1.73613e-008 -0.0209257
-1.72613e-008 -0.0209257
-1.71613e-008 -0.0209257
-1.70613e-008 -0.0209257
-1.69613e-008 0.0110731
-1.68613e-008 -0.0209257
-1.67613e-008 -0.0209257
-1.66613e-008 -0.0529244
-1.65613e-008 -0.036925
-1.64613e-008 -0.0209257
-1.63613e-008 -0.036925
-1.62613e-008 -0.0209257
-1.61613e-008 -0.036925
-1.60613e-008 -0.0529244
-1.59613e-008 -0.036925
-1.58613e-008 -0.0209257
-1.57613e-008 -0.0209257
-1.56613e-008 -0.0209257
-1.55613e-008 0.0270725
-1.54613e-008 -0.036925
-1.53613e-008 -0.0209257
-1.52613e-008 -0.036925
-1.51613e-008 -0.036925
-1.50613e-008 -0.036925
-1.49613e-008 0.0110731
-1.48613e-008 -0.0209257
-1.47613e-008 -0.0209257
-1.46613e-008 -0.0209257
-1.45613e-008 -0.036925
-1.44613e-008 -0.036925
-1.43613e-008 -0.0209257
-1.42613e-008 -0.036925
-1.41613e-008 -0.00492627
