LECROYWR64MXi 50182 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 26-May-2013 16:18:24 0                 
Time Ampl
-2.23802e-008 -0.00992627
-2.22802e-008 0.0220725
-2.21802e-008 0.00607311
-2.20802e-008 0.00607311
-2.19802e-008 0.00607311
-2.18802e-008 -0.00992627
-2.17802e-008 -0.0259257
-2.16802e-008 0.00607311
-2.15802e-008 -0.00992627
-2.14802e-008 0.0220725
-2.13802e-008 0.00607311
-2.12802e-008 -0.00992627
-2.11802e-008 -0.0259257
-2.10802e-008 0.00607311
-2.09802e-008 0.00607311
-2.08802e-008 0.0220725
-2.07802e-008 0.00607311
-2.06802e-008 -0.00992627
-2.05802e-008 -0.0259257
-2.04802e-008 -0.00992627
-2.03802e-008 0.00607311
-2.02802e-008 -0.0259257
-2.01802e-008 -0.00992627
-2.00802e-008 -0.0259257
-1.99802e-008 -0.0259257
-1.98802e-008 0.00607311
-1.97802e-008 -0.00992627
-1.96802e-008 0.0220725
-1.95802e-008 0.00607311
-1.94802e-008 0.00607311
-1.93802e-008 -0.0259257
-1.92802e-008 -0.00992627
-1.91802e-008 -0.0259257
-1.90802e-008 0.00607311
-1.89802e-008 0.0220725
-1.88802e-008 0.00607311
-1.87802e-008 -0.00992627
-1.86802e-008 0.0220725
-1.85802e-008 -0.00992627
-1.84802e-008 0.00607311
-1.83802e-008 0.0220725
-1.82802e-008 0.00607311
-1.81802e-008 -0.00992627
-1.80802e-008 0.00607311
-1.79802e-008 -0.00992627
-1.78802e-008 -0.00992627
-1.77802e-008 -0.00992627
-1.76802e-008 -0.00992627
-1.75802e-008 -0.0259257
-1.74802e-008 -0.00992627
-1.73802e-008 -0.0259257
-1.72802e-008 -0.00992627
-1.71802e-008 -0.041925
-1.70802e-008 -0.0259257
-1.69802e-008 -0.00992627
-1.68802e-008 0.0220725
-1.67802e-008 0.00607311
-1.66802e-008 0.00607311
-1.65802e-008 -0.00992627
-1.64802e-008 -0.00992627
-1.63802e-008 0.00607311
-1.62802e-008 0.00607311
-1.61802e-008 0.00607311
-1.60802e-008 0.00607311
-1.59802e-008 0.00607311
-1.58802e-008 -0.0259257
-1.57802e-008 -0.00992627
-1.56802e-008 0.00607311
-1.55802e-008 0.00607311
-1.54802e-008 0.0220725
-1.53802e-008 -0.00992627
-1.52802e-008 -0.0259257
-1.51802e-008 -0.0259257
-1.50802e-008 -0.0259257
-1.49802e-008 0.00607311
-1.48802e-008 0.00607311
-1.47802e-008 0.00607311
-1.46802e-008 -0.00992627
-1.45802e-008 -0.0259257
-1.44802e-008 -0.0259257
-1.43802e-008 -0.00992627
-1.42802e-008 0.0220725
-1.41802e-008 0.00607311
-1.40802e-008 0.00607311
-1.39802e-008 -0.041925
-1.38802e-008 -0.0259257
-1.37802e-008 -0.00992627
-1.36802e-008 0.00607311
-1.35802e-008 0.00607311
-1.34802e-008 0.00607311
-1.33802e-008 -0.0259257
-1.32802e-008 0.00607311
-1.31802e-008 -0.0259257
-1.30802e-008 0.00607311
-1.29802e-008 0.00607311
-1.28802e-008 0.00607311
-1.27802e-008 -0.00992627
-1.26802e-008 0.0220725
-1.25802e-008 0.00607311
-1.24802e-008 -0.00992627
-1.23802e-008 0.00607311
-1.22802e-008 0.00607311
-1.21802e-008 -0.00992627
-1.20802e-008 0.00607311
-1.19802e-008 -0.0259257
-1.18802e-008 0.00607311
-1.17802e-008 -0.0259257
-1.16802e-008 -0.0259257
-1.15802e-008 -0.00992627
-1.14802e-008 -0.00992627
-1.13802e-008 -0.0259257
-1.12802e-008 -0.0259257
-1.11802e-008 -0.0259257
-1.10802e-008 -0.041925
-1.09802e-008 -0.00992627
-1.08802e-008 0.00607311
-1.07802e-008 0.00607311
-1.06802e-008 -0.00992627
-1.05802e-008 -0.0259257
-1.04802e-008 -0.0259257
-1.03802e-008 -0.0259257
-1.02802e-008 0.0220725
-1.01802e-008 0.00607311
-1.00802e-008 -0.00992627
-9.98017e-009 -0.00992627
-9.88017e-009 -0.0259257
-9.78017e-009 -0.0259257
-9.68017e-009 0.00607311
-9.58017e-009 0.0220725
-9.48017e-009 0.0220725
-9.38017e-009 0.0220725
-9.28017e-009 -0.00992627
-9.18017e-009 -0.0259257
-9.08017e-009 0.00607311
-8.98017e-009 0.00607311
-8.88017e-009 0.0380719
-8.78017e-009 0.0380719
-8.68017e-009 0.0380719
-8.58017e-009 0.102069
-8.48017e-009 0.230065
-8.38017e-009 0.406058
-8.28017e-009 0.59805
-8.18017e-009 0.710046
-8.08017e-009 0.790043
-7.98017e-009 0.854041
-7.88017e-009 0.806042
