LECROYWR64MXi 50182 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 26-May-2013 16:47:45 0                 
Time Ampl
-2.23808e-008 -0.0259257
-2.22808e-008 -0.00992627
-2.21808e-008 0.0220725
-2.20808e-008 0.00607311
-2.19808e-008 -0.0259257
-2.18808e-008 -0.0259257
-2.17808e-008 0.00607311
-2.16808e-008 0.00607311
-2.15808e-008 0.0380719
-2.14808e-008 0.00607311
-2.13808e-008 -0.0259257
-2.12808e-008 -0.0259257
-2.11808e-008 -0.00992627
-2.10808e-008 -0.00992627
-2.09808e-008 0.00607311
-2.08808e-008 0.0220725
-2.07808e-008 0.00607311
-2.06808e-008 -0.00992627
-2.05808e-008 0.00607311
-2.04808e-008 -0.0259257
-2.03808e-008 -0.00992627
-2.02808e-008 -0.00992627
-2.01808e-008 -0.00992627
-2.00808e-008 -0.00992627
-1.99808e-008 -0.00992627
-1.98808e-008 -0.00992627
-1.97808e-008 -0.0259257
-1.96808e-008 -0.00992627
-1.95808e-008 0.00607311
-1.94808e-008 -0.00992627
-1.93808e-008 0.00607311
-1.92808e-008 -0.0259257
-1.91808e-008 -0.00992627
-1.90808e-008 -0.00992627
-1.89808e-008 0.00607311
-1.88808e-008 -0.00992627
-1.87808e-008 0.00607311
-1.86808e-008 -0.00992627
-1.85808e-008 0.00607311
-1.84808e-008 -0.0259257
-1.83808e-008 -0.00992627
-1.82808e-008 -0.00992627
-1.81808e-008 -0.00992627
-1.80808e-008 0.00607311
-1.79808e-008 -0.0259257
-1.78808e-008 0.00607311
-1.77808e-008 -0.041925
-1.76808e-008 -0.0259257
-1.75808e-008 0.0220725
-1.74808e-008 0.0380719
-1.73808e-008 0.0220725
-1.72808e-008 0.00607311
-1.71808e-008 -0.00992627
-1.70808e-008 -0.00992627
-1.69808e-008 0.0220725
-1.68808e-008 0.0220725
-1.67808e-008 0.0220725
-1.66808e-008 0.00607311
-1.65808e-008 -0.00992627
-1.64808e-008 -0.00992627
-1.63808e-008 0.0220725
-1.62808e-008 -0.00992627
-1.61808e-008 0.00607311
-1.60808e-008 0.00607311
-1.59808e-008 0.00607311
-1.58808e-008 -0.041925
-1.57808e-008 -0.0259257
-1.56808e-008 -0.00992627
-1.55808e-008 -0.00992627
-1.54808e-008 0.00607311
-1.53808e-008 -0.00992627
-1.52808e-008 -0.0259257
-1.51808e-008 -0.00992627
-1.50808e-008 -0.0259257
-1.49808e-008 0.00607311
-1.48808e-008 0.0220725
-1.47808e-008 -0.0259257
-1.46808e-008 -0.00992627
-1.45808e-008 -0.00992627
-1.44808e-008 -0.00992627
-1.43808e-008 0.00607311
-1.42808e-008 0.0220725
-1.41808e-008 0.00607311
-1.40808e-008 0.00607311
-1.39808e-008 0.00607311
-1.38808e-008 0.00607311
-1.37808e-008 0.00607311
-1.36808e-008 0.00607311
-1.35808e-008 0.00607311
-1.34808e-008 -0.00992627
-1.33808e-008 0.00607311
-1.32808e-008 -0.00992627
-1.31808e-008 0.00607311
-1.30808e-008 -0.00992627
-1.29808e-008 0.00607311
-1.28808e-008 -0.00992627
-1.27808e-008 0.0220725
-1.26808e-008 0.00607311
-1.25808e-008 0.00607311
-1.24808e-008 -0.00992627
-1.23808e-008 -0.00992627
-1.22808e-008 -0.0259257
-1.21808e-008 0.0220725
-1.20808e-008 -0.00992627
-1.19808e-008 0.0220725
-1.18808e-008 -0.00992627
-1.17808e-008 -0.041925
-1.16808e-008 -0.0259257
-1.15808e-008 0.00607311
-1.14808e-008 -0.00992627
-1.13808e-008 0.00607311
-1.12808e-008 -0.00992627
-1.11808e-008 -0.041925
-1.10808e-008 -0.0259257
-1.09808e-008 -0.00992627
-1.08808e-008 0.00607311
-1.07808e-008 0.00607311
-1.06808e-008 -0.00992627
-1.05808e-008 -0.0259257
-1.04808e-008 -0.0259257
-1.03808e-008 0.00607311
-1.02808e-008 -0.00992627
-1.01808e-008 0.0220725
-1.00808e-008 -0.00992627
-9.98082e-009 -0.00992627
-9.88082e-009 -0.0259257
-9.78082e-009 0.00607311
-9.68082e-009 -0.00992627
-9.58082e-009 0.0220725
-9.48082e-009 0.0220725
-9.38082e-009 -0.0259257
-9.28082e-009 -0.0259257
-9.18082e-009 -0.00992627
-9.08082e-009 -0.00992627
-8.98082e-009 0.0380719
-8.88082e-009 0.0380719
-8.78082e-009 0.102069
-8.68082e-009 0.214065
-8.58082e-009 0.374059
-8.48082e-009 0.534053
-8.38082e-009 0.678047
-8.28082e-009 0.822042
-8.18082e-009 0.854041
-8.08082e-009 0.854041
-7.98082e-009 0.790043
-7.88082e-009 0.742045
-7.78082e-009 0.726045
-7.68082e-009 0.726045
-7.58082e-009 0.806042
-7.48082e-009 0.87004
-7.38082e-009 0.902039
-7.28082e-009 0.966036
-7.18082e-009 0.982036
-7.08082e-009 1.01403
-6.98082e-009 1.07803
-6.88082e-009 1.12603
-6.78082e-009 1.20603
-6.68082e-009 1.27002
-6.58082e-009 1.33402
-6.48082e-009 1.38202
-6.38082e-009 1.43002
-6.28082e-009 1.47802
-6.18082e-009 1.51002
-6.08082e-009 1.51002
-5.98082e-009 1.54201
-5.88082e-009 1.62201
-5.78082e-009 1.67001
-5.68082e-009 1.70201
-5.58082e-009 1.76601
-5.48082e-009 1.814
-5.38082e-009 1.814
-5.28082e-009 1.83
-5.18082e-009 1.878
-5.08082e-009 1.894
-4.98082e-009 1.974
-4.88082e-009 2.022
-4.78082e-009 2.038
-4.68082e-009 2.06999
-4.58082e-009 2.11799
-4.48082e-009 2.13399
-4.38082e-009 2.18199
-4.28082e-009 2.18199
-4.18082e-009 2.19799
-4.08082e-009 2.24599
-3.98082e-009 2.27799
-3.88082e-009 2.27799
-3.78082e-009 2.30998
-3.68082e-009 2.34198
-3.58082e-009 2.37398
-3.48082e-009 2.38998
-3.38082e-009 2.38998
-3.28082e-009 2.42198
-3.18082e-009 2.45398
-3.08082e-009 2.48598
-2.98082e-009 2.51798
-2.88082e-009 2.53398
-2.78082e-009 2.54998
-2.68082e-009 2.56597
-2.58082e-009 2.56597
-2.48082e-009 2.59797
-2.38082e-009 2.61397
-2.28082e-009 2.64597
-2.18082e-009 2.67797
-2.08082e-009 2.64597
-1.98082e-009 2.66197
-1.88082e-009 2.69397
-1.78082e-009 2.70997
-1.68082e-009 2.74197
-1.58082e-009 2.75797
-1.48082e-009 2.75797
-1.38082e-009 2.75797
-1.28082e-009 2.78997
-1.18082e-009 2.80597
-1.08082e-009 2.82196
-9.80819e-010 2.83796
-8.80819e-010 2.85396
-7.80819e-010 2.82196
-6.80819e-010 2.86996
-5.80819e-010 2.88596
-4.80819e-010 2.90196
-3.80819e-010 2.93396
-2.80819e-010 2.96596
-1.80819e-010 2.91796
-8.08191e-011 2.94996
1.91809e-011 2.96596
1.19181e-010 2.96596
2.19181e-010 2.98196
3.19181e-010 2.99796
4.19181e-010 2.99796
5.19181e-010 2.99796
6.19181e-010 3.02996
7.19181e-010 3.04596
8.19181e-010 3.04596
9.19181e-010 3.04596
1.01918e-009 3.06196
1.11918e-009 3.04596
1.21918e-009 3.04596
1.31918e-009 3.06196
1.41918e-009 3.10995
1.51918e-009 3.09395
1.61918e-009 3.12595
1.71918e-009 3.09395
1.81918e-009 3.12595
1.91918e-009 3.12595
2.01918e-009 3.10995
2.11918e-009 3.10995
2.21918e-009 3.17395
2.31918e-009 3.18995
2.41918e-009 3.18995
2.51918e-009 3.15795
2.61918e-009 3.17395
2.71918e-009 3.15795
2.81918e-009 3.18995
2.91918e-009 3.18995
3.01918e-009 3.22195
3.11918e-009 3.22195
3.21918e-009 3.22195
3.31918e-009 3.20595
3.41918e-009 3.23795
3.51918e-009 3.23795
3.61918e-009 3.22195
3.71918e-009 3.26995
3.81918e-009 3.25395
3.91918e-009 3.26995
4.01918e-009 3.23795
4.11918e-009 3.30195
4.21918e-009 3.31795
4.31918e-009 3.31795
4.41918e-009 3.31795
4.51918e-009 3.31795
4.61918e-009 3.30195
4.71918e-009 3.31795
4.81918e-009 3.33395
4.91918e-009 3.33395
5.01918e-009 3.33395
5.11918e-009 3.33395
5.21918e-009 3.33395
5.31918e-009 3.33395
5.41918e-009 3.34994
5.51918e-009 3.36594
5.61918e-009 3.38194
5.71918e-009 3.39794
5.81918e-009 3.34994
5.91918e-009 3.34994
6.01918e-009 3.36594
6.11918e-009 3.38194
6.21918e-009 3.39794
6.31918e-009 3.44594
6.41918e-009 3.38194
6.51918e-009 3.39794
6.61918e-009 3.36594
6.71918e-009 3.41394
6.81918e-009 3.42994
6.91918e-009 3.42994
7.01918e-009 3.44594
7.11918e-009 3.42994
7.21918e-009 3.41394
7.31918e-009 3.42994
7.41918e-009 3.42994
7.51918e-009 3.44594
7.61918e-009 3.44594
7.71918e-009 3.44594
7.81918e-009 3.42994
7.91918e-009 3.42994
8.01918e-009 3.44594
8.11918e-009 3.49394
8.21918e-009 3.46194
8.31918e-009 3.44594
8.41918e-009 3.47794
8.51918e-009 3.47794
8.61918e-009 3.46194
8.71918e-009 3.47794
8.81918e-009 3.49394
8.91918e-009 3.50994
9.01918e-009 3.50994
9.11918e-009 3.50994
9.21918e-009 3.47794
9.31918e-009 3.49394
9.41918e-009 3.49394
9.51918e-009 3.52594
9.61918e-009 3.50994
9.71918e-009 3.50994
9.81918e-009 3.47794
9.91918e-009 3.49394
1.00192e-008 3.49394
1.01192e-008 3.52594
1.02192e-008 3.55794
1.03192e-008 3.54194
1.04192e-008 3.50994
1.05192e-008 3.54194
1.06192e-008 3.52594
1.07192e-008 3.52594
1.08192e-008 3.54194
1.09192e-008 3.57394
1.10192e-008 3.52594
1.11192e-008 3.54194
1.12192e-008 3.54194
1.13192e-008 3.54194
1.14192e-008 3.55794
1.15192e-008 3.60593
1.16192e-008 3.57394
1.17192e-008 3.57394
1.18192e-008 3.55794
1.19192e-008 3.55794
1.20192e-008 3.55794
1.21192e-008 3.58994
1.22192e-008 3.57394
1.23192e-008 3.57394
1.24192e-008 3.58994
1.25192e-008 3.54194
1.26192e-008 3.52594
1.27192e-008 3.60593
1.28192e-008 3.60593
1.29192e-008 3.60593
1.30192e-008 3.60593
1.31192e-008 3.55794
1.32192e-008 3.58994
1.33192e-008 3.58994
1.34192e-008 3.60593
1.35192e-008 3.60593
1.36192e-008 3.62193
1.37192e-008 3.57394
1.38192e-008 3.60593
1.39192e-008 3.58994
1.40192e-008 3.57394
1.41192e-008 3.63793
1.42192e-008 3.63793
1.43192e-008 3.58994
1.44192e-008 3.62193
1.45192e-008 3.58994
1.46192e-008 3.62193
1.47192e-008 3.62193
1.48192e-008 3.63793
1.49192e-008 3.63793
1.50192e-008 3.62193
1.51192e-008 3.63793
1.52192e-008 3.62193
1.53192e-008 3.63793
1.54192e-008 3.66993
1.55192e-008 3.65393
1.56192e-008 3.65393
1.57192e-008 3.65393
1.58192e-008 3.62193
1.59192e-008 3.63793
1.60192e-008 3.65393
1.61192e-008 3.63793
1.62192e-008 3.63793
1.63192e-008 3.62193
1.64192e-008 3.63793
1.65192e-008 3.65393
1.66192e-008 3.65393
1.67192e-008 3.65393
1.68192e-008 3.66993
1.69192e-008 3.68593
1.70192e-008 3.66993
1.71192e-008 3.63793
1.72192e-008 3.65393
1.73192e-008 3.63793
1.74192e-008 3.68593
1.75192e-008 3.68593
1.76192e-008 3.70193
1.77192e-008 3.65393
1.78192e-008 3.66993
1.79192e-008 3.63793
1.80192e-008 3.66993
1.81192e-008 3.70193
1.82192e-008 3.68593
1.83192e-008 3.70193
1.84192e-008 3.68593
1.85192e-008 3.65393
1.86192e-008 3.63793
1.87192e-008 3.71793
1.88192e-008 3.68593
1.89192e-008 3.70193
1.90192e-008 3.70193
1.91192e-008 3.66993
1.92192e-008 3.66993
1.93192e-008 3.70193
1.94192e-008 3.68593
1.95192e-008 3.70193
1.96192e-008 3.70193
1.97192e-008 3.70193
1.98192e-008 3.68593
1.99192e-008 3.71793
2.00192e-008 3.70193
2.01192e-008 3.73393
2.02192e-008 3.71793
2.03192e-008 3.70193
2.04192e-008 3.68593
2.05192e-008 3.71793
2.06192e-008 3.70193
2.07192e-008 3.71793
2.08192e-008 3.73393
2.09192e-008 3.71793
2.10192e-008 3.70193
2.11192e-008 3.71793
2.12192e-008 3.68593
2.13192e-008 3.71793
2.14192e-008 3.73393
2.15192e-008 3.73393
2.16192e-008 3.71793
2.17192e-008 3.73393
2.18192e-008 3.73393
2.19192e-008 3.71793
2.20192e-008 3.71793
2.21192e-008 3.73393
2.22192e-008 3.70193
2.23192e-008 3.74993
2.24192e-008 3.70193
2.25192e-008 3.71793
2.26192e-008 3.71793
2.27192e-008 3.73393
2.28192e-008 3.73393
2.29192e-008 3.78193
2.30192e-008 3.73393
2.31192e-008 3.71793
2.32192e-008 3.73393
2.33192e-008 3.73393
2.34192e-008 3.73393
2.35192e-008 3.79793
2.36192e-008 3.71793
2.37192e-008 3.74993
2.38192e-008 3.71793
2.39192e-008 3.73393
2.40192e-008 3.73393
2.41192e-008 3.76593
2.42192e-008 3.76593
2.43192e-008 3.78193
2.44192e-008 3.73393
2.45192e-008 3.73393
2.46192e-008 3.74993
2.47192e-008 3.76593
2.48192e-008 3.76593
