LECROYWR64MXi 50182 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 26-May-2013 17:01:32 0                 
Time Ampl
-2.23284e-008 3.94692
-2.22284e-008 3.94692
-2.21284e-008 3.94692
-2.20284e-008 3.94692
-2.19284e-008 3.94692
-2.18284e-008 3.94692
-2.17284e-008 3.94692
-2.16284e-008 3.94692
-2.15284e-008 3.94692
-2.14284e-008 3.94692
-2.13284e-008 3.94692
-2.12284e-008 3.94692
-2.11284e-008 3.94692
-2.10284e-008 3.94692
-2.09284e-008 3.94692
-2.08284e-008 3.94692
-2.07284e-008 3.94692
-2.06284e-008 3.94692
-2.05284e-008 3.94692
-2.04284e-008 3.94692
-2.03284e-008 3.94692
-2.02284e-008 3.94692
-2.01284e-008 3.94692
-2.00284e-008 3.94692
-1.99284e-008 3.94692
-1.98284e-008 3.94692
-1.97284e-008 3.94692
-1.96284e-008 3.94692
-1.95284e-008 3.94692
-1.94284e-008 3.94692
-1.93284e-008 3.94692
-1.92284e-008 3.94692
-1.91284e-008 3.94692
-1.90284e-008 3.94692
-1.89284e-008 3.94692
-1.88284e-008 3.94692
-1.87284e-008 3.94692
-1.86284e-008 3.94692
-1.85284e-008 3.94692
-1.84284e-008 3.94692
-1.83284e-008 3.94692
-1.82284e-008 3.94692
-1.81284e-008 3.94692
-1.80284e-008 3.94692
-1.79284e-008 3.94692
-1.78284e-008 3.94692
-1.77284e-008 3.94692
-1.76284e-008 3.94692
-1.75284e-008 3.94692
-1.74284e-008 3.94692
-1.73284e-008 3.94692
-1.72284e-008 3.94692
-1.71284e-008 3.94692
-1.70284e-008 3.94692
-1.69284e-008 3.94692
-1.68284e-008 3.94692
-1.67284e-008 3.94692
-1.66284e-008 3.94692
-1.65284e-008 3.94692
-1.64284e-008 3.94692
-1.63284e-008 3.94692
-1.62284e-008 3.94692
-1.61284e-008 3.94692
-1.60284e-008 3.94692
-1.59284e-008 3.94692
-1.58284e-008 3.94692
-1.57284e-008 3.94692
-1.56284e-008 3.94692
-1.55284e-008 3.94692
-1.54284e-008 3.94692
-1.53284e-008 3.94692
-1.52284e-008 3.94692
-1.51284e-008 3.94692
-1.50284e-008 3.94692
-1.49284e-008 3.94692
-1.48284e-008 3.94692
-1.47284e-008 3.94692
-1.46284e-008 3.94692
-1.45284e-008 3.94692
-1.44284e-008 3.94692
-1.43284e-008 3.94692
-1.42284e-008 3.94692
-1.41284e-008 3.94692
-1.40284e-008 3.94692
-1.39284e-008 3.94692
-1.38284e-008 3.94692
-1.37284e-008 3.94692
-1.36284e-008 3.94692
-1.35284e-008 3.94692
-1.34284e-008 3.94692
-1.33284e-008 3.94692
-1.32284e-008 3.94692
-1.31284e-008 3.93092
-1.30284e-008 3.94692
-1.29284e-008 3.94692
-1.28284e-008 3.94692
-1.27284e-008 3.93092
-1.26284e-008 3.94692
-1.25284e-008 3.94692
-1.24284e-008 3.94692
