LECROYWR64MXi 50182 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 26-May-2013 16:18:26 0                 
Time Ampl
-2.23362e-008 -0.0209257
-2.22362e-008 -0.00492627
-2.21362e-008 -0.036925
-2.20362e-008 -0.0209257
-2.19362e-008 -0.036925
-2.18362e-008 -0.00492627
-2.17362e-008 -0.00492627
-2.16362e-008 0.0270725
-2.15362e-008 -0.0209257
-2.14362e-008 -0.00492627
-2.13362e-008 -0.0529244
-2.12362e-008 -0.0209257
-2.11362e-008 -0.00492627
-2.10362e-008 -0.00492627
-2.09362e-008 -0.0209257
-2.08362e-008 -0.00492627
-2.07362e-008 -0.0209257
-2.06362e-008 -0.0209257
-2.05362e-008 -0.00492627
-2.04362e-008 -0.0209257
-2.03362e-008 -0.036925
-2.02362e-008 -0.00492627
-2.01362e-008 -0.0529244
-2.00362e-008 -0.0209257
-1.99362e-008 -0.0209257
-1.98362e-008 -0.00492627
-1.97362e-008 -0.0209257
-1.96362e-008 -0.00492627
-1.95362e-008 -0.036925
-1.94362e-008 -0.0209257
-1.93362e-008 -0.0209257
-1.92362e-008 -0.00492627
-1.91362e-008 -0.0209257
-1.90362e-008 -0.00492627
-1.89362e-008 -0.036925
-1.88362e-008 -0.0209257
-1.87362e-008 -0.0209257
-1.86362e-008 -0.0209257
-1.85362e-008 -0.0209257
-1.84362e-008 0.0110731
-1.83362e-008 -0.036925
-1.82362e-008 -0.0209257
-1.81362e-008 -0.0209257
-1.80362e-008 -0.0209257
-1.79362e-008 -0.0209257
-1.78362e-008 0.0110731
-1.77362e-008 -0.0209257
-1.76362e-008 -0.0209257
-1.75362e-008 -0.036925
-1.74362e-008 -0.036925
-1.73362e-008 -0.036925
-1.72362e-008 -0.0209257
-1.71362e-008 -0.0209257
-1.70362e-008 -0.0209257
-1.69362e-008 -0.036925
-1.68362e-008 -0.0209257
-1.67362e-008 -0.036925
-1.66362e-008 -0.0209257
-1.65362e-008 -0.0209257
-1.64362e-008 -0.00492627
-1.63362e-008 -0.00492627
-1.62362e-008 -0.0209257
-1.61362e-008 -0.036925
-1.60362e-008 -0.0209257
-1.59362e-008 -0.036925
-1.58362e-008 -0.00492627
-1.57362e-008 -0.0209257
-1.56362e-008 -0.00492627
-1.55362e-008 -0.036925
-1.54362e-008 -0.00492627
-1.53362e-008 -0.00492627
-1.52362e-008 -0.036925
-1.51362e-008 -0.00492627
-1.50362e-008 -0.0209257
-1.49362e-008 -0.00492627
-1.48362e-008 -0.0209257
-1.47362e-008 -0.0209257
-1.46362e-008 -0.00492627
-1.45362e-008 -0.00492627
-1.44362e-008 -0.0209257
-1.43362e-008 -0.0529244
-1.42362e-008 -0.036925
-1.41362e-008 -0.036925
-1.40362e-008 -0.00492627
-1.39362e-008 0.0110731
-1.38362e-008 -0.00492627
-1.37362e-008 -0.036925
-1.36362e-008 -0.036925
-1.35362e-008 -0.036925
-1.34362e-008 -0.0209257
-1.33362e-008 -0.00492627
-1.32362e-008 -0.00492627
-1.31362e-008 -0.0209257
-1.30362e-008 -0.0209257
-1.29362e-008 -0.036925
-1.28362e-008 -0.0209257
-1.27362e-008 -0.00492627
-1.26362e-008 0.0270725
-1.25362e-008 -0.0209257
-1.24362e-008 -0.00492627
-1.23362e-008 -0.036925
-1.22362e-008 -0.0529244
-1.21362e-008 -0.0209257
-1.20362e-008 -0.00492627
-1.19362e-008 -0.036925
-1.18362e-008 -0.00492627
-1.17362e-008 -0.0529244
-1.16362e-008 -0.00492627
-1.15362e-008 -0.00492627
-1.14362e-008 0.0110731
-1.13362e-008 -0.00492627
-1.12362e-008 -0.00492627
-1.11362e-008 -0.0529244
-1.10362e-008 -0.0209257
-1.09362e-008 -0.0209257
-1.08362e-008 -0.0209257
-1.07362e-008 -0.0209257
-1.06362e-008 0.0110731
-1.05362e-008 -0.036925
-1.04362e-008 -0.036925
-1.03362e-008 -0.036925
-1.02362e-008 -0.0209257
-1.01362e-008 -0.0209257
-1.00362e-008 -0.00492627
-9.93621e-009 -0.036925
-9.83621e-009 -0.0209257
-9.73621e-009 -0.0209257
-9.63621e-009 -0.036925
-9.53621e-009 -0.0209257
-9.43621e-009 -0.0209257
-9.33621e-009 -0.00492627
-9.23621e-009 -0.0209257
-9.13621e-009 -0.0209257
-9.03621e-009 -0.0529244
-8.93621e-009 -0.0529244
-8.83621e-009 -0.0209257
-8.73621e-009 -0.036925
-8.63621e-009 -0.036925
-8.53621e-009 -0.0209257
-8.43621e-009 -0.036925
-8.33621e-009 -0.036925
-8.23621e-009 -0.0209257
-8.13621e-009 -0.0209257
-8.03621e-009 -0.00492627
-7.93621e-009 -0.00492627
-7.83621e-009 -0.0209257
-7.73621e-009 -0.036925
-7.63621e-009 -0.00492627
-7.53621e-009 -0.036925
-7.43621e-009 -0.00492627
-7.33621e-009 -0.00492627
-7.23621e-009 -0.0209257
-7.13621e-009 -0.036925
-7.03621e-009 0.0110731
-6.93621e-009 -0.0529244
-6.83621e-009 -0.0209257
-6.73621e-009 -0.0209257
-6.63621e-009 -0.036925
-6.53621e-009 -0.036925
-6.43621e-009 -0.036925
-6.33621e-009 -0.036925
-6.23621e-009 0.0110731
-6.13621e-009 -0.00492627
-6.03621e-009 0.0110731
-5.93621e-009 -0.036925
-5.83621e-009 0.0110731
-5.73621e-009 -0.036925
-5.63621e-009 0.0110731
-5.53621e-009 -0.00492627
-5.43621e-009 -0.00492627
-5.33621e-009 -0.00492627
-5.23621e-009 0.0110731
-5.13621e-009 0.0590713
-5.03621e-009 0.187066
-4.93621e-009 0.36306
-4.83621e-009 0.523053
-4.73621e-009 0.651049
-4.63621e-009 0.763044
-4.53621e-009 0.795043
-4.43621e-009 0.811042
-4.33621e-009 0.795043
-4.23621e-009 0.747045
-4.13621e-009 0.731045
-4.03621e-009 0.763044
-3.93621e-009 0.811042
-3.83621e-009 0.859041
-3.73621e-009 0.971036
-3.63621e-009 0.971036
