LECROYWR64MXi 50182 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 26-May-2013 17:27:13 0                 
Time Ampl
-2.23744e-008 0.00607311
-2.22744e-008 0.00607311
-2.21744e-008 0.00607311
-2.20744e-008 0.00607311
-2.19744e-008 0.00607311
-2.18744e-008 0.0220725
-2.17744e-008 -0.00992627
-2.16744e-008 0.00607311
-2.15744e-008 0.0220725
-2.14744e-008 -0.00992627
-2.13744e-008 0.00607311
-2.12744e-008 -0.00992627
-2.11744e-008 -0.0259257
-2.10744e-008 -0.00992627
-2.09744e-008 0.0220725
-2.08744e-008 0.00607311
-2.07744e-008 0.00607311
-2.06744e-008 -0.00992627
-2.05744e-008 -0.00992627
-2.04744e-008 -0.0259257
-2.03744e-008 0.0220725
-2.02744e-008 -0.00992627
-2.01744e-008 0.0220725
-2.00744e-008 -0.00992627
-1.99744e-008 -0.00992627
-1.98744e-008 -0.0259257
-1.97744e-008 -0.00992627
-1.96744e-008 0.00607311
-1.95744e-008 0.00607311
-1.94744e-008 0.00607311
-1.93744e-008 -0.00992627
-1.92744e-008 -0.00992627
-1.91744e-008 0.00607311
-1.90744e-008 0.00607311
-1.89744e-008 0.0380719
-1.88744e-008 0.00607311
-1.87744e-008 0.00607311
-1.86744e-008 -0.0259257
-1.85744e-008 -0.00992627
-1.84744e-008 0.00607311
-1.83744e-008 0.0380719
-1.82744e-008 0.00607311
-1.81744e-008 -0.0259257
-1.80744e-008 -0.0259257
-1.79744e-008 -0.00992627
-1.78744e-008 -0.00992627
-1.77744e-008 0.00607311
-1.76744e-008 0.00607311
-1.75744e-008 0.00607311
-1.74744e-008 -0.00992627
-1.73744e-008 -0.00992627
-1.72744e-008 -0.00992627
-1.71744e-008 -0.041925
-1.70744e-008 -0.00992627
-1.69744e-008 -0.00992627
-1.68744e-008 -0.00992627
-1.67744e-008 0.0220725
-1.66744e-008 0.00607311
-1.65744e-008 -0.0259257
-1.64744e-008 0.00607311
-1.63744e-008 -0.00992627
-1.62744e-008 -0.00992627
-1.61744e-008 0.00607311
-1.60744e-008 -0.00992627
-1.59744e-008 0.00607311
-1.58744e-008 -0.00992627
-1.57744e-008 -0.00992627
-1.56744e-008 0.00607311
-1.55744e-008 -0.00992627
-1.54744e-008 0.00607311
-1.53744e-008 0.00607311
-1.52744e-008 -0.00992627
-1.51744e-008 -0.00992627
-1.50744e-008 -0.0259257
-1.49744e-008 0.0220725
-1.48744e-008 0.00607311
-1.47744e-008 0.00607311
-1.46744e-008 0.00607311
-1.45744e-008 0.00607311
-1.44744e-008 -0.0259257
-1.43744e-008 0.0380719
-1.42744e-008 0.00607311
-1.41744e-008 0.0380719
-1.40744e-008 0.0380719
-1.39744e-008 -0.0259257
-1.38744e-008 -0.0259257
-1.37744e-008 0.00607311
-1.36744e-008 0.00607311
-1.35744e-008 0.0380719
-1.34744e-008 0.0380719
-1.33744e-008 -0.00992627
-1.32744e-008 -0.0259257
-1.31744e-008 -0.00992627
-1.30744e-008 0.00607311
-1.29744e-008 0.0220725
-1.28744e-008 0.0220725
-1.27744e-008 -0.00992627
